source,target,type,weight,evidence,reason
project:gemnet-oc-developing-graph-neural-networks-for-large-and-diverse-molecular-simul,project:open-catalyst-2020-oc20-dataset-and-community-challenges,BENCHMARKED_AGAINST,1.0,GemNet-OC outperforms the previous state-of-the-art on OC20 by 16%,bidirectional
project:open-catalyst-2020-oc20-dataset-and-community-challenges,project:gemnet-oc-developing-graph-neural-networks-for-large-and-diverse-molecular-simul,BENCHMARKED_AGAINST,1.0,"We applied three state-of-the-art graph neural network models (CGCNN, SchNet, and DimeNet++) as baseline demonstrations",bidirectional
project:geomagic-design-x,project:geomagic-for-solidworks,BUILT_ON,1.0,"merger of Rapidform's parametric, history-based modeling with Geomagic's mesh-processing and surfacing stack",bidirectional
project:geomagic-for-solidworks,project:geomagic-design-x,BUILT_ON,1.0,deployed production as part of Hexagon's Geomagic portfolio,bidirectional
project:gino,project:nvidia-physicsnemo,BUILT_ON,1.0,GINO is the architecture underpinning NVIDIA PhysicsNeMo's flagship demonstrations,bidirectional
project:nvidia-physicsnemo,project:gino,BUILT_ON,1.0,"Ships FNO, GINO, DoMINO, MeshGraphNet, and diffusion components",bidirectional
project:gnome,project:mattergen,CITES,1.0,"Triggered an industry-wide push toward generative-materials platforms (MatterGen, MatterSim)",bidirectional
project:mattergen,project:gnome,CITES,1.0,The reference generative-materials model alongside DeepMind's GNoME,bidirectional
project:matbench,project:materials-graph-library-matgl-an-open-source-graph-deep-learning-library-for-mat,BENCHMARKED_AGAINST,1.0,"Tools for assessing the ability of machine learning models to predict materials properties, similar to ML community standards like ImageNet",bidirectional
project:materials-graph-library-matgl-an-open-source-graph-deep-learning-library-for-mat,project:matbench,BENCHMARKED_AGAINST,1.0,"property prediction models for out-of-box usage, benchmarking and fine-tuning",bidirectional
project:neural-concept-ai-design-copilot,project:neural-concept-platform,BUILT_ON,1.0,Neural Concept’s launch of its AI Design Copilot builds on the company’s rapid market growth,bidirectional
project:neural-concept-platform,project:neural-concept-ai-design-copilot,BUILT_ON,1.0,Start from a design Copilot that generates and updates CAD-ready design options,bidirectional
project:openbom-ai-agent,project:openbom-ai-support-agent,CITES,1.0,Related OpenBOM materials tie the agent and support assistant to documentation retrieval,bidirectional
project:openbom-ai-support-agent,project:openbom-ai-agent,CITES,1.0,"Compared with the broader OpenBOM AI Agent vision, this support-focused assistant is more explicitly a production RAG tool",bidirectional
project:physics-informed-neural-networks-for-inverse-problems-in-nano-optics-and-metamat,project:physicsinformed-machine-learning-for-inverse-design-of-optical-metamaterials,CITES,1.0,development of physics-informed deep learning techniques for inverse scattering can enable the design of novel functional nanostructures,bidirectional
project:physicsinformed-machine-learning-for-inverse-design-of-optical-metamaterials,project:physics-informed-neural-networks-for-inverse-problems-in-nano-optics-and-metamat,CITES,1.0,a physics‐informed deep learning (DL) framework is used,bidirectional
project:pinn-original,project:variational-physics-informed-neural-networks-for-solving-partial-differential-eq,CITES,1.0,"spawned the entire scientific-ML field including DeepXDE, NVIDIA Modulus, and dozens of variants (VPINN, XPINN, fPINN, BC-PINN)",bidirectional
project:variational-physics-informed-neural-networks-for-solving-partial-differential-eq,project:pinn-original,CITES,1.0,Physics-informed neural networks (PINNs) [31] use automatic differentiation to solve partial differential equations (PDEs),bidirectional
project:point-e,project:shap-e,BUILT_ON,1.0,Point-E was the first widely accessible text-to-3D system and seeded a generation of follow-up work (Shap-E,bidirectional
project:shap-e,project:point-e,BUILT_ON,1.0,"Shap-E is OpenAI's successor to Point-E, generating implicit-function representations rather than point clouds",bidirectional
project:project-completion-time-prediction-based-on-bim-and-bp-neural-network,project:research-on-cost-forecasting-based-on-the-bim-and-neural-network,CITES,1.0,integrating Building Information Modeling (BIM) and Back Propagation (BP) neural network,bidirectional
project:research-on-cost-forecasting-based-on-the-bim-and-neural-network,project:project-completion-time-prediction-based-on-bim-and-bp-neural-network,CITES,1.0,"BIM technology is introduced into the construction project, so that the project manager can master all the information of the building",bidirectional
project:rescale-ai-physics,project:rescale-platform-experience,BUILT_ON,1.0,Rescale AI Physics is a 2025 commercial product from Rescale,bidirectional
project:rescale-platform-experience,project:rescale-ai-physics,BUILT_ON,1.0,"introduces new capabilities for data intelligence, and agentic workflows, and AI Physics on Rescale’s expanded platform",bidirectional
project:siemens-industrial-copilot-engineering,project:siemens-industrial-copilot-operations,CITES,1.0,continuing expansion across the Siemens copilot family,bidirectional
project:siemens-industrial-copilot-operations,project:siemens-industrial-copilot-engineering,CITES,1.0,"Siemens copilot family, aimed at machine operators and maintenance staff",bidirectional
project:sketchgen-generating-constrained-cad-sketches,project:sketchgraphs-a-large-scale-dataset-for-modeling-relational-geometry-in-computer,BENCHMARKED_AGAINST,1.0,our approach significantly out performs the state-of-the-art,bidirectional
project:sketchgraphs-a-large-scale-dataset-for-modeling-relational-geometry-in-computer,project:sketchgen-generating-constrained-cad-sketches,BENCHMARKED_AGAINST,1.0,We demonstrate and establish benchmarks for two use cases of the dataset: generative modeling of sketches,bidirectional
project:weatherbench,project:weatherbench-2,BUILT_ON,1.0,WeatherBench 2 has been released. It provides an updated and much improved benchmark,bidirectional
project:weatherbench-2,project:weatherbench,BUILT_ON,1.0,WeatherBench 2 is a 2023 benchmark dataset from Google Research. WeatherBench 2 is a framework for evaluating and comparing data-driven and traditional numerical weather forecasting models.,bidirectional
project:a-foundation-model-for-atomistic-materials-chemistry,project:mace,BUILT_ON,1.0,We demonstrate the power of the MACE-MP-0 model - and its qualitative and at times quantitative accuracy,cross-category (generative-materials -> ml-interatomic-potential)
project:a-lab,project:accelerated-data-driven-materials-science-with-the-materials-project,CITES,1.0,identified using large-scale ab initio phase-stability data from the Materials Project,cross-category (generative-materials -> benchmark-dataset)
project:a-path-planning-method-of-lattice-structural-components-for-additive-manufacturi,project:machine-learning-assisted-design-and-optimization-of-plate-lattice-structures-wi,CITES,1.0,Using machine learning method based on a support vector machine (SVM) system,cross-category (dfam-ai -> architected-materials)
project:accelerated-gradient-based-design-optimization-via-differentiable-physics-inform,project:pino,CITES,1.0,"Data-agnostic AI-based surrogate models, such as Physics-Informed Neural Operators (PINOs)",cross-category (differentiable-physics -> neural-operator)
project:alpha3d-game-asset-generation,project:alpha3d-2d-drawing-to-3d,BUILT_ON,1.0,The platform excels at converting 2D images into 3D models,cross-category (text-to-3d -> image-to-3d)
project:atomistic-line-graph-neural-network-for-improved-materials-property-predictions,project:gemnet-universal-directional-graph-neural-networks-for-molecules,CITES,1.0,ALIGNN can outperform some previously reported GNN models on atomistic prediction tasks,cross-category (generative-materials -> ml-interatomic-potential)
project:automatic-detection-and-classification-of-defective-areas-on-metal-parts-by-usin,project:development-and-improvement-of-deep-learning-based-automated-defect-detection-fo,CITES,1.0,Faster Regional Convolutional Neural Network (Faster R-CNN),cross-category (vision-inspection-ml -> aec-construction-ai)
project:backflip-onshape-plugin,project:onshape-aikido,BUILT_ON,1.0,Currently natively builds in Onshape or exports .STEP files,cross-category (image-to-cad -> cad-copilot)
project:cad-coder-an-open-source-vision-language-model-for-computer-aided-design-code-ge,project:gencad-3d-cad-program-generation-using-multimodal-latent-space-alignment-and-syn,CITES,1.0,"Leveraging a novel dataset that we created—GenCAD-Code, consisting of over 163k CAD-model image and code pairs",cross-category (cad-copilot -> benchmark-dataset)
project:cad-translator-an-effective-drive-for-text-to-3d-parametric-computer-aided-desig,project:text2cad-generating-sequential-cad-models-from-beginner-to-expert-level-text-pro,CITES,1.0,"To train CAD Translator, we build a Text2CAD dataset with the help of Large Multimodal Model (LMM)",cross-category (program-cad -> text-to-cad)
project:caddreamer-cad-object-generation-from-single-view-images,project:mvdream-multi-view-diffusion-for-3d-generation,BUILT_ON,1.0,CADDreamer employs a primitive-aware multi-view diffusion model,cross-category (cad-reconstruction -> image-to-3d)
project:caddreamer-cad-object-generation-from-single-view-images,project:brepgen-a-b-rep-generative-diffusion-model-with-structured-latent-geometry,CITES,1.0,generating boundary representations (B-rep) of CAD objects,cross-category (cad-reconstruction -> b-rep-learning)
project:cadence-jedai-platform,project:cadence-cerebrus-ai-studio,BUILT_ON,1.0,transfer learning and cross-project analytics possible for products like Cerebrus,cross-category (eda-chip-design -> optimization)
project:cadence-jedai-platform,project:cadence-verisium,BUILT_ON,1.0,transfer learning and cross-project analytics possible for products like ... Verisium,cross-category (eda-chip-design -> optimization)
project:cadparser-a-learning-approach-of-sequence-modeling-for-b-rep-cad,project:brep2seq-a-dataset-and-hierarchical-deep-learning-network-for-reconstruction-and,CITES,1.0,our method can compete with the existing state-of-the-art methods quantitatively and qualitatively,cross-category (b-rep-learning -> benchmark-dataset)
project:capri-net-learning-compact-cad-shapes-with-adaptive-primitive-assembly,project:csgnet-neural-shape-parser-for-constructive-solid-geometry,CITES,1.0,assembly of quadric surface primitives via constructive solid geometry (CSG) operations,cross-category (text-to-cad -> dfm-ai)
project:catia-performance-driven-generative-design,project:catia-ai-driven-generative-experiences,BUILT_ON,1.0,CATIA Performance-Driven Generative Design is a 2023 commercial product from Dassault Systemes,cross-category (topology-optimization -> generative-platform)
project:catia-performance-driven-generative-design,project:catia-ai-driven-generative-experiences,CITES,1.0,"CATIA propose a different approach of Generative AI, with machine and deep learning in various applications",cross-category (topology-optimization -> generative-platform)
project:clay-a-controllable-large-scale-generative-model-for-creating-high-quality-3d-as,project:direct3d-scalable-image-to-3d-generation-via-3d-latent-diffusion-transformer,CITES,1.0,"a minimalistic latent Diffusion Transformer (DiT), to extract rich 3D priors",cross-category (generative-3d-shape -> image-to-3d)
project:clay-a-controllable-large-scale-generative-model-for-creating-high-quality-3d-as,project:scalable-diffusion-for-materials-generation,CITES,1.0,multi-view material diffusion model that can generate 2K resolution textures,cross-category (generative-3d-shape -> generative-materials)
project:computer-vision-for-automatic-defect-detection-of-self-pierce-rivet-joints,project:computer-vision-for-industrial-defect-detection,CITES,1.0,current methods for quality control of rivet joints in automotive production are discussed,cross-category (aec-construction-ai -> vision-inspection-ml)
project:computer-vision-for-automatic-defect-detection-of-self-pierce-rivet-joints,project:computer-vision-for-industrial-defect-detection,BUILT_ON,1.0,"a computer vision approach, based on the object detection algorithm YOLOv5, for automated defect detection",cross-category (aec-construction-ai -> vision-inspection-ml)
project:construction-with-digital-twin-information-systems,project:an-adapted-model-of-cognitive-digital-twins-for-building-lifecycle-management,CITES,1.0,builds on existing concepts of Building Information Modeling (BIM),cross-category (generative-platform -> aec-construction-ai)
project:construction-with-digital-twin-information-systems,project:artificial-intelligence-and-smart-vision-for-building-and-construction-40-machin,CITES,1.0,builds on ... artificial intelligence to formulate a mode of construction,cross-category (generative-platform -> aec-construction-ai)
project:creo-generative-design-topology,project:creo-generative-design,CITES,1.0,Creo Generative Design Topology is a 2023 commercial product from PTC. Creo is a parametric 3D CAD system from PTC,cross-category (topology-optimization -> generative-platform)
project:data-driven-topology-optimization-for-multiscale-biomimetic-spinodal-design,project:multiscale-topology-optimization-using-neural-network-surrogate-models,CITES,1.0,"incorporates a Gaussian Process surrogate for spinodoid constitutive models, enhancing scalability of multiscale topology optimization",cross-category (architected-materials -> topology-optimization)
project:deep-learning-for-topology-optimization-of-2d-metamaterials,project:deep-learning-enabled-on-demand-design-of-chiral-metamaterials,CITES,1.0,Metamaterials are emerging as promising materials exhibiting tailorable and unprecedented properties,cross-category (topology-optimization -> inverse-design-materials)
project:deep-learning-for-topology-optimization-of-2d-metamaterials,project:machine-learning-based-characterization-and-inverse-design-of-metamaterials,CITES,1.0,data-driven model can play a vital role in accelerating more computationally expensive design problems,cross-category (topology-optimization -> inverse-design-materials)
project:deep-neural-operator-enabled-digital-twin-modeling-for-additive-manufacturing,project:accelerating-phase-field-simulations-through-a-hybrid-adaptive-fourier-neural-op,BUILT_ON,1.0,an efficient Fourier neural operator (FNO) based surrogate model to approximate the melt pool solution field,cross-category (process-monitoring-ml -> neural-operator)
project:deepcad,project:complexgen-cad-reconstruction-by-b-rep-chain-complex-generation,BUILT_ON,1.0,"most subsequent neural-CAD papers (SkexGen, ComplexGen, BRepGen, CAD-MLLM) reuse",cross-category (program-cad -> b-rep-learning)
project:deepxde,project:deeponet,CITES,1.0,DeepXDE is the most-used open-source library for PINNs and DeepONet,cross-category (physics-informed-nn -> neural-operator)
project:development-and-improvement-of-deep-learning-based-automated-defect-detection-fo,project:enhanced-faster-region-convolutional-neural-networks-for-steel-surface-defect-de,CITES,1.0,using faster region-based convolutional neural network (faster R-CNN),cross-category (aec-construction-ai -> vision-inspection-ml)
project:development-and-improvement-of-deep-learning-based-automated-defect-detection-fo,project:automatic-detection-and-classification-of-defective-areas-on-metal-parts-by-usin,CITES,1.0,using faster region-based convolutional neural network (faster R-CNN),cross-category (aec-construction-ai -> vision-inspection-ml)
project:diffeqfluxjl,project:flux,BUILT_ON,1.0,DiffEqFlux.jl provides architectures which match the interfaces of machine learning libraries such as Flux.jl and Lux.jl,cross-category (scientific-ml -> pcb-design-ai)
project:differentialequationsjl,project:neuralpdejl,BUILT_ON,1.0,DifferentialEquations.jl integrates with the Julia package sphere,cross-category (scientific-ml -> differentiable-physics)
project:differentialequationsjl,project:optimizationjl,BUILT_ON,1.0,DifferentialEquations.jl integrates with the Julia package sphere,cross-category (scientific-ml -> optimization)
project:directional-message-passing-for-molecular-graphs,project:gemnet-universal-directional-graph-neural-networks-for-molecules,CITES,1.0,DimeNet outperforms previous GNNs on average by 76% on MD17 and by 31% on QM9,cross-category (generative-materials -> ml-interatomic-potential)
project:dreamfusion,project:mvdream-multi-view-diffusion-for-3d-generation,BUILT_ON,1.0,SDS is now a load-bearing technique across the field,cross-category (text-to-3d -> image-to-3d)
project:equivariant-message-passing-for-the-prediction-of-tensorial-properties-and-molec,project:gemnet-universal-directional-graph-neural-networks-for-molecules,CITES,1.0,improve on common molecule benchmarks over previous networks,cross-category (generative-materials -> ml-interatomic-potential)
project:equivariant-message-passing-for-the-prediction-of-tensorial-properties-and-molec,project:nequip,CITES,1.0,improve on common molecule benchmarks over previous networks,cross-category (generative-materials -> ml-interatomic-potential)
project:estimation-of-local-strain-fields-in-two-phase-elastic-composite-materials-using,project:accelerating-phase-field-simulations-through-a-hybrid-adaptive-fourier-neural-op,CITES,1.0,using the UNet to predict the local strain fields,cross-category (architected-materials -> neural-operator)
project:fourcastnet,project:fno,BUILT_ON,1.0,Built on the Adaptive Fourier Neural Operator (AFNO),cross-category (foundation-model-physics -> neural-operator)
project:from-text-to-design-a-framework-to-leverage-llm-agents-for-automated-cad-generat,project:agent-aided-design-for-dynamic-cad-models,CITES,1.0,agent workflows. The agent workflow incorporating automated visual feedback outperforms the others,cross-category (text-to-cad -> cad-agent)
project:frustum-truesolid-generative-design,project:frustum-truesolid,CITES,1.0,Frustum TrueSOLID Generative Design is a 2017 commercial product from Frustum,cross-category (topology-optimization -> generative-platform)
project:fusion-360-generative,project:frustum-truesolid-generative-design,BUILT_ON,1.0,originally based on Frustum acquisition by PTC,cross-category (generative-platform -> topology-optimization)
project:fusion360-gallery-dataset,project:skexgen,CITES,1.0,"Critical for program-CAD generation research (SkexGen, BRepGen, JoinABLE)",cross-category (benchmark-dataset -> program-cad)
project:fusion360-gallery-dataset,project:joinable-learning-bottom-up-assembly-of-parametric-cad-joints,CITES,1.0,"Critical for program-CAD generation research (SkexGen, BRepGen, JoinABLE)",cross-category (benchmark-dataset -> text-to-cad)
project:gaussianobject-high-quality-3d-object-reconstruction-from-four-views-with-gaussi,project:3d-gaussian-splatting-for-real-time-radiance-field-rendering,CITES,1.0,represent and render the 3D object with Gaussian splatting,cross-category (image-to-3d -> generative-3d-shape)
project:gemnet-universal-directional-graph-neural-networks-for-molecules,project:directional-message-passing-for-molecular-graphs,CITES,1.0,We then discretize such GNNs via directed edge embeddings and two-hop message passing,cross-category (ml-interatomic-potential -> generative-materials)
project:gencad-3d-cad-program-generation-using-multimodal-latent-space-alignment-and-syn,project:gencad-image-conditioned-computer-aided-design-generation-with-transformer-based,CITES,1.0,"GenCAD-3D employs contrastive learning to align latent embeddings between CAD and geometric encoders, and uses latent diffusion models for generation",cross-category (benchmark-dataset -> image-to-cad)
project:generative-ai-meets-cad-enhancing-engineering-design-to-manufacturing-processes,project:from-text-to-design-a-framework-to-leverage-llm-agents-for-automated-cad-generat,CITES,1.0,investigating the potential of LLMs in solving engineering design problems,cross-category (cad-copilot -> text-to-cad)
project:generative-ai-meets-cad-enhancing-engineering-design-to-manufacturing-processes,project:text-to-cad-generation-through-infusing-visual-feedback-in-large-language-models,CITES,1.0,incorporating image recognition and voice detection capabilities,cross-category (cad-copilot -> text-to-cad)
project:generative-ai-meets-cad-enhancing-engineering-design-to-manufacturing-processes,project:cadvlm-bridging-language-and-vision-in-the-generation-of-parametric-cad-sketches,CITES,1.0,incorporating image recognition and voice detection capabilities,cross-category (cad-copilot -> sketch-to-cad)
project:get3d,project:dreamfusion,CITES,1.0,bypassing the slow score-distillation route used by DreamFusion,cross-category (generative-3d-shape -> text-to-3d)
project:gino,project:nvidia-physicsnemo,BUILT_ON,1.0,GINO is the architecture underpinning NVIDIA PhysicsNeMo's flagship demonstrations,cross-category (neural-operator -> physics-informed-nn)
project:gpytorch,project:botorch,BUILT_ON,1.0,GPyTorch is a Gaussian process library implemented using PyTorch,cross-category (scientific-ml -> optimization)
project:graph-convolutional-neural-networks-with-global-attention-for-improved-materials,project:materials-graph-library-matgl-an-open-source-graph-deep-learning-library-for-mat,CITES,1.0,"various techniques have been proposed to extract physicochemical features in MPP, graph neural networks (GNN) have also shown very strong capability",cross-category (generative-materials -> ml-interatomic-potential)
project:hybrid-thermal-modeling-of-additive-manufacturing-processes-using-physics-inform,project:machine-learning-for-metal-additive-manufacturing-predicting-temperature-and-mel,CITES,1.0,using physics-informed neural networks for temperature prediction and parameter identification,cross-category (process-monitoring-ml -> physics-informed-nn)
project:hybrid-thermal-modeling-of-additive-manufacturing-processes-using-physics-inform,project:physics-informed-neural-networks-for-heat-transfer-problems,CITES,1.0,using physics-informed neural networks,cross-category (process-monitoring-ml -> physics-informed-nn)
project:hybrid-thermal-modeling-of-additive-manufacturing-processes-using-physics-inform,project:architecture-driven-physics-informed-deep-learning-for-temperature-prediction-in,CITES,1.0,temperature prediction and parameter identification using physics-informed neural networks,cross-category (process-monitoring-ml -> dfam-ai)
project:inverse-designed-spinodoid-metamaterials,project:data-driven-topology-optimization-for-multiscale-biomimetic-spinodal-design,CITES,1.0,biomimetic artificial bone architectures that reproduce properties of trabecular bone accurately,cross-category (inverse-design-materials -> architected-materials)
project:inversecsg,project:csgnet-neural-shape-parser-for-constructive-solid-geometry,CITES,1.0,compare our method to prior state-of-the-art,cross-category (program-cad -> dfm-ai)
project:inversecsg,project:csg-stump-a-learning-friendly-csg-like-representation-for-interpretable-shape-pa,CITES,1.0,compare our method to prior state-of-the-art,cross-category (program-cad -> text-to-cad)
project:jax-md,project:mace,CITES,1.0,"referenced as the differentiable-simulation companion to ML interatomic potentials (NequIP, MACE, Allegro)",cross-category (differentiable-physics -> ml-interatomic-potential)
