source,target,type,weight,evidence
project:cad-translator-an-effective-drive-for-text-to-3d-parametric-computer-aided-desig,project:text2cad-generating-sequential-cad-models-from-beginner-to-expert-level-text-pro,BUILT_ON,1.0,"To train CAD Translator, we build a Text2CAD dataset with the help of Large Multimodal Model (LMM)"
project:cadcl-reconstruct-parametric-cad-models-from-b-rep-via-contrastive-learning,project:deepcad,BENCHMARKED_AGAINST,1.0,Extensive experimental results on both the simple DeepCAD dataset and advanced WHUCAD dataset demonstrate that our method outperforms existing approaches
project:caddreamer-cad-object-generation-from-single-view-images,project:mvdream-multi-view-diffusion-for-3d-generation,BUILT_ON,1.0,CADDreamer employs a primitive-aware multi-view diffusion model that captures both local geometric details and high-level structural semantics
project:caddreamer-cad-object-generation-from-single-view-images,project:brepgen-a-b-rep-generative-diffusion-model-with-structured-latent-geometry,CITES,1.0,a novel approach for generating boundary representations (B-rep) of CAD objects from a single image
project:cadparser-a-learning-approach-of-sequence-modeling-for-b-rep-cad,project:brep2seq-a-dataset-and-hierarchical-deep-learning-network-for-reconstruction-and,BENCHMARKED_AGAINST,1.0,Extensive experiments demonstrate that our method can compete with the existing state-of-the-art methods quantitatively and qualitatively
project:capri-net-learning-compact-cad-shapes-with-adaptive-primitive-assembly,project:csgnet-neural-shape-parser-for-constructive-solid-geometry,CITES,1.0,our network reconstructs it by an assembly of quadric surface primitives via constructive solid geometry (CSG) operations
project:cfdbench,project:deeponet,BENCHMARKED_AGAINST,1.0,"We evaluate the effectiveness of popular neural operators including feed-forward networks, DeepONet, FNO, U-Net, etc. on CFDBnech"
project:cfdbench,project:fno,BENCHMARKED_AGAINST,1.0,"We evaluate the effectiveness of popular neural operators including feed-forward networks, DeepONet, FNO, U-Net, etc. on CFDBnech"
project:cfdbench,project:accelerating-phase-field-simulations-through-a-hybrid-adaptive-fourier-neural-op,BENCHMARKED_AGAINST,1.0,"We evaluate the effectiveness of popular neural operators including feed-forward networks, DeepONet, FNO, U-Net, etc. on CFDBnech"
project:chateda,project:gpt4aigchip,BENCHMARKED_AGAINST,1.0,our fine-tuned AutoMage model has exhibited superior performance compared to GPT-4 and other similar LLMs
project:clay-a-controllable-large-scale-generative-model-for-creating-high-quality-3d-as,project:direct3d-scalable-image-to-3d-generation-via-3d-latent-diffusion-transformer,CITES,1.0,"a minimalistic latent Diffusion Transformer (DiT), to extract rich 3D priors directly from a diverse range of 3D geometries"
project:csg-stump-a-learning-friendly-csg-like-representation-for-interpretable-shape-pa,project:csgnet-neural-shape-parser-for-constructive-solid-geometry,BENCHMARKED_AGAINST,1.0,CSG-Stump Net achieves superior results compared to previous CSG-based methods
project:data-driven-topology-optimization-using-a-multitask-conditional-variational-auto,project:topology-optimization-using-convolutional-neural-network,CITES,1.0,"Recent advances have integrated deep generative models, particularly convolutional neural networks, to streamline this process."
project:data-efficient-deep-learning-for-printed-circuit-board-defect-detection-using-x,project:deep-learning-based-solder-joint-defect-detection-on-industrial-printed-circuit,BENCHMARKED_AGAINST,1.0,achieving an increment of 10% in terms of APs compared to other adaptation methods
project:deep-learning-and-computer-vision-techniques-for-enhanced-quality-control-in-man,project:state-of-the-art-in-defect-detection-based-on-machine-vision,CITES,1.0,This systematic review focuses on recent advancements in DL and CV applications for automated defect detection in manufacturing processes.
project:deep-learning-based-steel-pipe-weld-defect-detection,project:yolov4-mn3-for-pcb-surface-defect-detection,BENCHMARKED_AGAINST,1.0,compared with the two-stage representative object detection algorithm Faster R-CNN
project:deep-learning-based-steel-pipe-weld-defect-detection,project:enhanced-faster-region-convolutional-neural-networks-for-steel-surface-defect-de,BENCHMARKED_AGAINST,1.0,compared with the two-stage representative object detection algorithm Faster R-CNN
project:deep-learning-in-sheet-metal-bending-with-a-novel-theory-guided-deep-neural-netw,project:prediction-of-springback-in-the-air-v-bending-of-metallic-sheets,CITES,1.0,"To surmount the springback occurring in sheet metal forming processes, numerous studies have been performed to develop compensation methods."
project:deep-neural-operator-enabled-digital-twin-modeling-for-additive-manufacturing,project:accelerating-phase-field-simulations-through-a-hybrid-adaptive-fourier-neural-op,BUILT_ON,1.0,an efficient Fourier neural operator (FNO) based surrogate model to approximate the melt pool solution field
project:dreamgaussian4d-generative-4d-gaussian-splatting,project:3d-gaussian-splatting-for-real-time-radiance-field-rendering,BUILT_ON,1.0,an efficient 4D generation framework that builds on Gaussian Splatting (GS)
project:efficient-superresolution-of-nearsurface-climate-modeling-using-the-fourier-neur,project:fno,BUILT_ON,1.0,"we demonstrate a recently proposed zero-shot super-resolution method, the Fourier neural operator (FNO)"
project:efficient-superresolution-of-nearsurface-climate-modeling-using-the-fourier-neur,project:u-fno-an-enhanced-fourier-neural-operator-based-deep-learning-model-for-multipha,BENCHMARKED_AGAINST,1.0,"FNO shows comparable performance with a widely-used convolutional network, U-Net"
project:enforcing-dirichlet-boundary-conditions-in-physics-informed-neural-networks-and,project:pinn-original,CITES,1.0,Physics-Informed Neural Networks (PINNs) and Variational Physics-Informed Neural Networks (VPINNs)
project:enforcing-dirichlet-boundary-conditions-in-physics-informed-neural-networks-and,project:variational-physics-informed-neural-networks-for-solving-partial-differential-eq,CITES,1.0,Physics-Informed Neural Networks (PINNs) and Variational Physics-Informed Neural Networks (VPINNs)
project:enhanced-faster-region-convolutional-neural-networks-for-steel-surface-defect-de,project:development-and-improvement-of-deep-learning-based-automated-defect-detection-fo,CITES,1.0,a deep learning defects detection method based on Faster Region Convolutional Neural Networks (Faster R-CNN) is proposed
project:enhanced-faster-region-convolutional-neural-networks-for-steel-surface-defect-de,project:pga-net-pyramid-feature-fusion-and-global-context-attention-network-for-automate,CITES,1.0,multi-scale feature extraction network with Feature Pyramid Networks (FPN) is proposed to build feature pyramids
project:equiformerv2-improved-equivariant-transformer-for-scaling-to-higher-degree-repre,project:equiformer-equivariant-graph-attention-transformer-for-3d-atomistic-graphs,BUILT_ON,1.0,"Starting from Equiformer, we first replace $SO(3)$ convolutions with eSCN convolutions"
project:equiformerv2-improved-equivariant-transformer-for-scaling-to-higher-degree-repre,project:equiformer-equivariant-graph-attention-transformer-for-3d-atomistic-graphs,BENCHMARKED_AGAINST,1.0,"Finally, we compare EquiformerV2 with Equiformer on QM9 and OC20 S2EF-2M datasets"
project:explainable-remaining-tool-life-prediction-for-individualized-production-using-a,project:a-use-case-to-implement-machine-learning-for-life-time-prediction-of-manufacturi,BENCHMARKED_AGAINST,1.0,The method is analyzed and compared to a manual state-of-the-art approach for series production in a comprehensive evaluation using a new milling dataset.
project:extended-physics-informed-neural-networks-xpinns-a-generalized-space-time-domain,project:pinn-original,CITES,1.0,The proposed XPINN method is the generalization of PINN and cPINN methods
project:extended-physics-informed-neural-networks-xpinns-a-generalized-space-time-domain,project:bc-pinn-an-adaptive-physics-informed-neural-network-based-on-biased-multiobjecti,CITES,1.0,which is a recently proposed domain decomposition approach in the PINN framework tailored to conservation laws
project:fast-and-uncertainty-aware-directional-message-passing-for-non-equilibrium-molec,project:directional-message-passing-for-molecular-graphs,BUILT_ON,1.0,"we propose the DimeNet++ model, which is 8x faster and 10% more accurate than the original DimeNet"
project:fast-and-uncertainty-aware-directional-message-passing-for-non-equilibrium-molec,project:qm9,BENCHMARKED_AGAINST,1.0,"DimeNet++ model, which is 8x faster and 10% more accurate than the original DimeNet on the QM9 benchmark of equilibrium molecules"
project:fast-graspnext-a-fast-self-attention-neural-network-architecture-for-multi-task,project:metagraspnet-v0-a-large-scale-benchmark-dataset-for-vision-driven-robotic-graspi,BENCHMARKED_AGAINST,1.0,Experimental results on the MetaGraspNet benchmark dataset show that the Fast GraspNeXt network design achieves the highest performance
project:finite-basis-physics-informed-neural-networks-fbpinns-a-scalable-domain-decompos,project:pinn-original,CITES,1.0,"Recently, physics-informed neural networks (PINNs) have offered a powerful new paradigm for solving problems relating to differential equations."
project:flexcad-unified-and-versatile-controllable-cad-generation-with-fine-tuned-large,project:hierarchical-neural-coding-for-controllable-cad-model-generation,CITES,1.0,"Recently, there is a growing interest in creating computer-aided design (CAD) models based on user intent, known as controllable CAD generation."
project:flowmm-generating-materials-with-riemannian-flow-matching,project:scalable-diffusion-for-materials-generation,CITES,1.0,simplifying the problem of learning crystal structures compared with diffusion models
project:flowmm-generating-materials-with-riemannian-flow-matching,project:scalable-diffusion-for-materials-generation,BENCHMARKED_AGAINST,1.0,"about 3x more efficient, in terms of integration steps, at finding stable materials compared to previous open methods"
project:fourier-neural-operator-approach-to-large-eddy-simulation-of-three-dimensional-t,project:fno,BUILT_ON,1.0,Fourier neural operator (FNO) model is developed for large eddy simulation (LES) of three-dimensional (3D) turbulence
project:fourier-neural-operator-for-accurate-optical-fiber-modeling-with-low-complexity,project:fno,CITES,1.0,"a novel deep learning architecture, Fourier neural operator (FNO), has been introduced to approximate the nonlinear Schrodinger equation"
project:fourier-neural-operator-for-image-classification,project:fno,CITES,1.0,The present work seeks to analyze the performance of the Fourier Neural Operator (symbolized by FNO) as a convolution method
project:fourier-neural-operator-for-image-classification,project:fno,BUILT_ON,1.0,The FNO was very efficient to solve parametric partial differential equations like Navier-Stokes Equation
project:fourier-neural-operator-for-solving-subsurface-oilwater-two-phase-flow-partial-d,project:fno,BUILT_ON,1.0,Fourier neural operator (FNO) is a recently proposed high-efficiency PDE solution architecture
project:fourier-neural-operator-for-solving-subsurface-oilwater-two-phase-flow-partial-d,project:physics-informed-neural-operator-for-learning-partial-differential-equations,BENCHMARKED_AGAINST,1.0,this model overcomes some shortcomings of popular algorithms such as physics-informed neural networks (PINNs)
project:fourier-neural-operator-with-learned-deformations-for-pdes-on-general-geometries,project:fno,CITES,1.0,"the Fourier neural operator (FNO) achieves good accuracy, and is significantly faster compared to numerical solvers"
project:fourier-neural-operator-with-learned-deformations-for-pdes-on-general-geometries,project:fno,BENCHMARKED_AGAINST,1.0,twice more accurate compared to direct interpolation on existing ML-based PDE solvers such as the standard FNO
project:fpinns-fractional-physics-informed-neural-networks,project:pinn-original,CITES,1.0,"Physics-informed neural networks (PINNs), introduced in [M. Raissi, P. Perdikaris, and G. Karniadakis, J. Comput. Phys., 378 (2019), pp. 686--707]"
project:free2cad,project:sketch2cad,CITES,1.0,we present Free2CAD wherein the user can simply sketch the final shape and our system parses the input strokes into a sequence of commands
project:from-text-to-design-a-framework-to-leverage-llm-agents-for-automated-cad-generat,project:text-to-cad-generation-through-infusing-visual-feedback-in-large-language-models,BENCHMARKED_AGAINST,1.0,"The agent workflow incorporating automated visual feedback outperforms the others, especially with multimodal LLMs like ChatGPT-4o"
project:gaussianobject-high-quality-3d-object-reconstruction-from-four-views-with-gaussi,project:3d-gaussian-splatting-for-real-time-radiance-field-rendering,CITES,1.0,"we propose GaussianObject, a framework to represent and render the 3D object with Gaussian splatting"
project:gemnet-oc-developing-graph-neural-networks-for-large-and-diverse-molecular-simul,project:open-catalyst-2020-oc20-dataset-and-community-challenges,BUILT_ON,1.0,developing the GemNet-OC model based on the large Open Catalyst 2020 (OC20) dataset
project:gemnet-oc-developing-graph-neural-networks-for-large-and-diverse-molecular-simul,project:gemnet-universal-directional-graph-neural-networks-for-molecules,CITES,1.0,developing the GemNet-OC model
project:gemnet-oc-developing-graph-neural-networks-for-large-and-diverse-molecular-simul,project:open-catalyst-2020-oc20-dataset-and-community-challenges,BENCHMARKED_AGAINST,1.0,GemNet-OC outperforms the previous state-of-the-art on OC20 by 16%
project:gencad-3d-cad-program-generation-using-multimodal-latent-space-alignment-and-syn,project:gencad-image-conditioned-computer-aided-design-generation-with-transformer-based,BUILT_ON,1.0,"GenCAD-3D employs contrastive learning to align latent embeddings between CAD and geometric encoders, and uses latent diffusion models for generation"
project:gencad-3d-cad-program-generation-using-multimodal-latent-space-alignment-and-syn,project:histcad-geometrically-constrained-parametric-history-based-cad-dataset,BENCHMARKED_AGAINST,1.0,"SynthBal enhances reconstruction accuracy, reduces invalid CAD generation, and substantially improves performance for high-complexity geometries compared to existing methods"
project:gencad-image-conditioned-computer-aided-design-generation-with-transformer-based,project:img2cad-conditioned-3d-cad-model-generation-from-single-image-with-structured-vi,BENCHMARKED_AGAINST,1.0,GenCAD significantly outperforms existing state-of-the-art methods in terms of the unconditional and conditional generations of CAD models
project:geometry-informed-neural-operator-for-large-scale-3d-pdes,project:fno,BUILT_ON,1.0,neural operators based on graph and Fourier architectures to learn the solution operator
project:geometry-informed-neural-operator-for-large-scale-3d-pdes,project:deeponet,BENCHMARKED_AGAINST,1.0,GINO obtains a one-fourth reduction in error rate compared to deep neural network approaches
project:gpt-models-in-construction-industry-opportunities-limitations-and-a-use-case-val,project:gpt4aigchip,CITES,1.0,different LLMs such as GPT models from OpenAI have been released
project:graph-networks-as-a-universal-machine-learning-framework-for-molecules-and-cryst,project:crystal-graph-convolutional-neural-networks-for-an-accurate-and-interpretable-pr,BENCHMARKED_AGAINST,1.0,"MEGNet models trained on ∼60 000 crystals in the Materials Project substantially outperform prior ML models in the prediction of the formation energies, band gaps, and elastic moduli of crystals"
project:graphcast,project:fourcastnet,BENCHMARKED_AGAINST,1.0,GraphCast significantly outperforms the most accurate operational deterministic systems
project:graphcast,project:weatherbench-2,BENCHMARKED_AGAINST,1.0,GraphCast significantly outperforms the most accurate operational deterministic systems on 90% of 1380 verification targets
project:hierarchical-cadnet-learning-from-b-reps-for-machining-feature-recognition,project:brepnet,BENCHMARKED_AGAINST,1.0,has been shown to outperform other state-of-the-art neural architectures on feature identification
project:high-frequency-wavefield-extrapolation-using-the-fourier-neural-operator,project:fno,BUILT_ON,1.0,"a data-driven machine learning method, called the Fourier neural operator (FNO), is capable of predicting high-frequency wavefields"
project:hp-variational-physics-informed-neural-networks-for-nonlinear-two-phase-transpor,project:variational-physics-informed-neural-networks-for-solving-partial-differential-eq,CITES,1.0,"By employing the approach of hp-VPINNs, the forward problem is solved without any additional labeled data in the interior of the domain."
project:human-intrusion-detection-in-static-hazardous-areas-at-construction-sites-deep-l,project:yolov4-mn3-for-pcb-surface-defect-detection,CITES,1.0,The object detection was based on the You Only Look Once (YOLO) V5 module to extract the image feature information.
project:incremental-spatial-and-spectral-learning-of-neural-operators-for-solving-large,project:fno,CITES,1.0,At the core of FNO is a spectral layer that leverages a discretization-convergent representation in the Fourier domain
project:incremental-spatial-and-spectral-learning-of-neural-operators-for-solving-large,project:fno,BENCHMARKED_AGAINST,1.0,"iFNO reduces total training time while maintaining or improving generalization performance across various datasets... 10% lower testing error, using 20% fewer frequency modes compared to the existing "
project:inferring-cad-modeling-sequences-using-zone-graphs,project:inversecsg,BENCHMARKED_AGAINST,1.0,our approach outperforms an existing CSG inference baseline in terms of geometric reconstruction accuracy and reconstruction time
project:inversecsg,project:csgnet-neural-shape-parser-for-constructive-solid-geometry,BENCHMARKED_AGAINST,1.0,our algorithm dominates previous methods in terms of resulting CSG compactness and runtime
project:latent-nerf-for-shape-guided-generation-of-3d-shapes-and-textures,project:dreamfusion,CITES,1.0,"Recently, it has been shown that using score distillation, one can successfully text-guide a NeRF model to generate a 3D object."
project:learning-the-stress-strain-fields-in-digital-composites-using-fourier-neural-ope,project:fno,BUILT_ON,1.0,"we employ a neural operator-based framework, namely Fourier neural operator (FNO), to learn the mechanical response of 2D composites"
project:learning-to-solve-the-elastic-wave-equation-with-fourier-neural-operators,project:fno,CITES,1.0,"One of these networks, the Fourier neural operator (FNO), has been particularly successful in producing general solutions to PDEs"
project:linear-attention-coupled-fourier-neural-operator-for-simulation-of-three-dimensi,project:fno,BUILT_ON,1.0,The linear attention coupled Fourier neural operator (LAFNO) is developed for the simulation of 3D isotropic turbulence and free shear turbulence.
project:lion-latent-point-diffusion-models-for-3d-shape-generation,project:shapenet-an-information-rich-3d-model-repository,BENCHMARKED_AGAINST,1.0,LION achieves state-of-the-art generation performance on multiple ShapeNet benchmarks
project:long-term-predictions-of-turbulence-by-implicit-u-net-enhanced-fourier-neural-op,project:u-fno-an-enhanced-fourier-neural-operator-based-deep-learning-model-for-multipha,BENCHMARKED_AGAINST,1.0,"IU-FNO model is more accurate than other FNO-based models, including vanilla FNO, implicit FNO (IFNO), and U-Net enhanced FNO (U-FNO)"
project:long-term-predictions-of-turbulence-by-implicit-u-net-enhanced-fourier-neural-op,project:fourier-neural-operator-approach-to-large-eddy-simulation-of-three-dimensional-t,BENCHMARKED_AGAINST,1.0,IU-FNO model is more accurate than other FNO-based models... and dynamic Smagorinsky model (DSM) in predicting a variety of statistics
project:machine-learning-assisted-design-and-optimization-of-plate-lattice-structures-wi,project:inverse-machine-learning-framework-for-optimizing-lightweight-metamaterials,CITES,1.0,we propose a novel inverse design framework to design plate-lattice structures (PLSs) with user-defined optimum specific maximum compression strength
project:machine-learning-based-characterization-and-inverse-design-of-metamaterials,project:rapid-inverse-design-of-metamaterials-based-on-prescribed-mechanical-behavior-th,CITES,1.0,"This paper formulates a machine-learning-based approach to expedite predicting effective metamaterial properties, leading to the discovery of microstructures with diverse and outstanding characteristi"
project:magic3d,project:dreamfusion,CITES,1.0,DreamFusion [31] has recently demonstrated the utility of a pretrained text-to-image diffusion model to optimize Neural Radiance Fields (NeRF) [23]
project:magic3d,project:dreamfusion,BENCHMARKED_AGAINST,1.0,User studies show 61.7% raters to prefer our approach over DreamFusion
project:matbench,project:accelerated-data-driven-materials-science-with-the-materials-project,CITES,1.0,a benchmark test suite and an automated machine learning procedure for evaluating supervised machine learning (ML) models for predicting properties of inorganic bulk materials
project:matbench,project:jarvis-dft,CITES,1.0,contain data from 10 density functional theory-derived and experimental sources
project:mechanistic-data-driven-prediction-of-as-built-mechanical-properties-in-metal-ad,project:additive-manufacturing-application-and-validation-of-machine-learning-based-proc,BENCHMARKED_AGAINST,1.0,We systematically compare the developed approach with other machine learning methods.
project:modeling-of-a-multi-parameter-chaotic-optoelectronic-oscillator-based-on-the-fou,project:fno,CITES,1.0,FNO is a deep learning architecture which utilizes neural network as a parameter structure to learn the trajectory of the family of equations from training data.
project:msft-yolo-improved-yolov5-based-on-transformer-for-detecting-defects-of-steel-su,project:yolov4-mn3-for-pcb-surface-defect-detection,CITES,1.0,improving about 7% compared to the baseline model (YOLOv5) and 18% compared to Faster R-CNN
project:msft-yolo-improved-yolov5-based-on-transformer-for-detecting-defects-of-steel-su,project:enhanced-faster-region-convolutional-neural-networks-for-steel-surface-defect-de,BENCHMARKED_AGAINST,1.0,improving about 7% compared to the baseline model (YOLOv5) and 18% compared to Faster R-CNN
project:multi-fidelity-bayesian-optimization-via-deep-neural-networks,project:a-multi-fidelity-bayesian-optimization-approach-based-on-the-expected-further-im,CITES,1.0,many multi-fidelity BO methods have been proposed
project:multi-fidelity-bayesian-optimization-via-deep-neural-networks,project:multi-fidelity-efficient-global-optimization-methodology-and-application-to-airf,CITES,1.0,many multi-fidelity BO methods have been proposed
project:multi-fidelity-prediction-of-fluid-flow-based-on-transfer-learning-using-fourier,project:fno,CITES,1.0,the Fourier neural operator is first and gainfully applied to integrate multi-fidelity data directly
project:multi-grid-tensorized-fourier-neural-operator-for-high-resolution-pdes,project:fno,BUILT_ON,1.0,we propose architectural improvements to the backbone FNO
project:multi-phenomena-melt-pool-sensor-data-fusion-for-enhanced-process-monitoring-of,project:deep-learning-based-data-fusion-method-for-in-situ-porosity-detection-in-laser-b,BENCHMARKED_AGAINST,1.0,"These results were at par with a black-box, deep machine learning approach (convolutional neural network)"
project:multiscale-attention-via-wavelet-neural-operators-for-vision-transformers,project:adaptive-fourier-neural-operators-efficient-token-mixers-for-transformers,CITES,1.0,"Recently, inspired by operator learning for PDEs, Adaptive Fourier Neural Operators (AFNO) were introduced for high resolution attention based on global convolution"
project:multiscale-attention-via-wavelet-neural-operators-for-vision-transformers,project:adaptive-fourier-neural-operators-efficient-token-mixers-for-transformers,BENCHMARKED_AGAINST,1.0,our experiments with CIFAR and Tiny-ImageNet classification demonstrate significant improvement over alternative Fourier-based attentions such as AFNO
project:mvdream-multi-view-diffusion-for-3d-generation,project:dreamfusion,BUILT_ON,1.0,It can be applied to 3D generation via Score Distillation Sampling
project:nito-neural-implicit-fields-for-resolution-free-topology-optimization,project:topology-optimization-using-convolutional-neural-network,CITES,1.0,limitations that restrict Convolutional Neural Network (CNN) models to a structured domain of fixed size -- limitations that hinder the widespread adoption of CNNs in engineering applications
project:nito-neural-implicit-fields-for-resolution-free-topology-optimization,project:topologygan,BENCHMARKED_AGAINST,1.0,NITO synthesizes structures with up to seven times better structural efficiency compared to SOTA diffusion models and does so in a tenth of the time
project:nurbgen-high-fidelity-text-to-cad-generation-through-llm-driven-nurbs-modeling,project:from-text-to-design-a-framework-to-leverage-llm-agents-for-automated-cad-generat,BUILT_ON,1.0,we fine-tune a large language model (LLM) to translate free-form texts into JSON representations containing NURBS surface parameters
project:nurbgen-high-fidelity-text-to-cad-generation-through-llm-driven-nurbs-modeling,project:nurbs-diff-a-differentiable-programming-module-for-nurbs,CITES,1.0,using Non-Uniform Rational B-Splines (NURBS)
project:nurbgen-high-fidelity-text-to-cad-generation-through-llm-driven-nurbs-modeling,project:large-language-models-for-computer-aided-design-a-survey,CITES,1.0,existing text-to-CAD systems either output surface meshes or require scarce design-history supervision
project:objaverse-xl,project:zero-1-to-3-zero-shot-one-image-to-3d-object,BUILT_ON,1.0,"by training Zero123 on novel view synthesis, utilizing over 100 million multi-view rendered images"
project:on-universal-approximation-and-error-bounds-for-fourier-neural-operators,project:fno,CITES,1.0,Fourier neural operators (FNOs) have recently been proposed as an effective framework for learning operators
