source,target,type,weight,evidence
project:data-efficient-inverse-design-of-spinodoid-metamaterials,project:inverse-designed-spinodoid-metamaterials,SEMANTICALLY_NEAR,0.834,cosine=0.834
project:deep-learning-based-inverse-design-of-phononic-crystals-for-anticipated-wave-att,project:inverse-design-of-phononic-crystals-for-anticipated-wave-propagation-by-integrat,SEMANTICALLY_NEAR,0.9249,cosine=0.925
project:deep-learning-based-inverse-design-of-phononic-crystals-for-anticipated-wave-att,project:machine-learning-driven-on-demand-design-of-phononic-beams,SEMANTICALLY_NEAR,0.8432,cosine=0.843
project:defect-detection-for-printed-circuit-board-assembly-using-deep-learning,project:detection-and-classification-of-defects-on-printed-circuit-board-assembly-throug,SEMANTICALLY_NEAR,0.8473,cosine=0.847
project:density-topology-optimization-method-based-on-neural-network,project:novel-artificial-neural-network-aided-structural-topology-optimization,SEMANTICALLY_NEAR,0.8474,cosine=0.847
project:density-topology-optimization-method-based-on-neural-network,project:tounn-topology-optimization-using-neural-networks,SEMANTICALLY_NEAR,0.8308,cosine=0.831
project:development-of-a-deep-learning-machining-feature-recognition-network-for-recogni,project:part-machining-feature-recognition-based-on-a-deep-learning-method,SEMANTICALLY_NEAR,0.8283,cosine=0.828
project:equiformer-equivariant-graph-attention-transformer-for-3d-atomistic-graphs,project:equiformerv2-improved-equivariant-transformer-for-scaling-to-higher-degree-repre,SEMANTICALLY_NEAR,0.8239,cosine=0.824
project:explainability-of-laser-powder-bed-fusion-melt-pool-classification-using-deep-le,project:investigation-of-deep-learning-for-real-time-melt-pool-classification-in-additiv,SEMANTICALLY_NEAR,0.8202,cosine=0.820
project:explainability-of-laser-powder-bed-fusion-melt-pool-classification-using-deep-le,project:traditional-machine-learning-and-deep-learning-for-predicting-melt-pool-cross-se,SEMANTICALLY_NEAR,0.8402,cosine=0.840
project:extended-physics-informed-neural-networks-xpinns-a-generalized-space-time-domain,project:when-do-extended-physics-informed-neural-networks-xpinns-improve-generalization,SEMANTICALLY_NEAR,0.8832,cosine=0.883
project:fno,project:fourier-neural-operator-with-learned-deformations-for-pdes-on-general-geometries,SEMANTICALLY_NEAR,0.8253,cosine=0.825
project:fno,project:incremental-spatial-and-spectral-learning-of-neural-operators-for-solving-large,SEMANTICALLY_NEAR,0.843,cosine=0.843
project:fno,project:learning-to-solve-the-elastic-wave-equation-with-fourier-neural-operators,SEMANTICALLY_NEAR,0.827,cosine=0.827
project:fno,project:on-universal-approximation-and-error-bounds-for-fourier-neural-operators,SEMANTICALLY_NEAR,0.8392,cosine=0.839
project:fpinns-fractional-physics-informed-neural-networks,project:pinn-original,SEMANTICALLY_NEAR,0.826,cosine=0.826
project:free2cad,project:sketch2cad,SEMANTICALLY_NEAR,0.8342,cosine=0.834
project:from-text-to-design-a-framework-to-leverage-llm-agents-for-automated-cad-generat,project:generative-ai-meets-cad-enhancing-engineering-design-to-manufacturing-processes,SEMANTICALLY_NEAR,0.828,cosine=0.828
project:frustum-truesolid,project:frustum-truesolid-generative-design,SEMANTICALLY_NEAR,0.9733,cosine=0.973
project:generative-ai-meets-cad-enhancing-engineering-design-to-manufacturing-processes,project:large-language-models-for-computer-aided-design-a-survey,SEMANTICALLY_NEAR,0.8211,cosine=0.821
project:geomagic-design-x,project:geomagic-for-solidworks,SEMANTICALLY_NEAR,0.8361,cosine=0.836
project:geometry-informed-neural-operator-for-large-scale-3d-pdes,project:gino,SEMANTICALLY_NEAR,0.8993,cosine=0.899
project:hierarchical-cadnet-learning-from-b-reps-for-machining-feature-recognition,project:machining-feature-recognition-based-on-deep-neural-networks-to-support-tight-int,SEMANTICALLY_NEAR,0.8336,cosine=0.834
project:humangaussian-text-driven-3d-human-generation-with-gaussian-splatting,project:text-to-3d-using-gaussian-splatting,SEMANTICALLY_NEAR,0.8542,cosine=0.854
project:inkbit-vision-controlled-jetting,project:inkbit-vista,SEMANTICALLY_NEAR,0.8902,cosine=0.890
project:inverse-design-of-a-topological-phononic-beam-with-interface-modes,project:inverse-design-of-phononic-crystals-for-anticipated-wave-propagation-by-integrat,SEMANTICALLY_NEAR,0.8345,cosine=0.835
project:inverse-design-of-a-topological-phononic-beam-with-interface-modes,project:machine-learning-driven-on-demand-design-of-phononic-beams,SEMANTICALLY_NEAR,0.8233,cosine=0.823
project:inverse-design-of-phononic-crystals-for-anticipated-wave-propagation-by-integrat,project:machine-learning-driven-on-demand-design-of-phononic-beams,SEMANTICALLY_NEAR,0.8512,cosine=0.851
project:investigation-of-deep-learning-for-real-time-melt-pool-classification-in-additiv,project:traditional-machine-learning-and-deep-learning-for-predicting-melt-pool-cross-se,SEMANTICALLY_NEAR,0.8233,cosine=0.823
project:learning-to-solve-the-elastic-wave-equation-with-fourier-neural-operators,project:solving-seismic-wave-equations-on-variable-velocity-models-with-fourier-neural-o,SEMANTICALLY_NEAR,0.8374,cosine=0.837
project:long-term-predictions-of-turbulence-by-implicit-u-net-enhanced-fourier-neural-op,project:prediction-of-turbulent-channel-flow-using-fourier-neural-operator-based-machine,SEMANTICALLY_NEAR,0.8711,cosine=0.871
project:matlab-copilot,project:simulink-copilot,SEMANTICALLY_NEAR,0.8445,cosine=0.844
project:mattergen,project:mattergen-a-generative-model-for-inorganic-materials-design,SEMANTICALLY_NEAR,0.857,cosine=0.857
project:multiphysics-deep-learning-for-topology-optimization-of-permanent-magnet-motor,project:topology-optimization-accelerated-by-deep-learning,SEMANTICALLY_NEAR,0.8357,cosine=0.836
project:multiphysics-deep-learning-for-topology-optimization-of-permanent-magnet-motor,project:transfer-learning-through-deep-learning-application-to-topology-optimization-of,SEMANTICALLY_NEAR,0.8286,cosine=0.829
project:mvdiffusion-enabling-holistic-multi-view-image-generation-with-correspondence-aw,project:mvdream-multi-view-diffusion-for-3d-generation,SEMANTICALLY_NEAR,0.8544,cosine=0.854
project:neural-concept-ai-design-copilot,project:neural-concept-platform,SEMANTICALLY_NEAR,0.8891,cosine=0.889
project:novel-artificial-neural-network-aided-structural-topology-optimization,project:tounn-topology-optimization-using-neural-networks,SEMANTICALLY_NEAR,0.829,cosine=0.829
project:nvidia-modulus,project:nvidia-physicsnemo,SEMANTICALLY_NEAR,0.8899,cosine=0.890
project:nvidia-modulus,project:nvidia-physicsnemo-2024,SEMANTICALLY_NEAR,0.8479,cosine=0.848
project:nvidia-physicsnemo,project:nvidia-physicsnemo-2024,SEMANTICALLY_NEAR,0.8837,cosine=0.884
project:nx-generative-design,project:nx-generative-design-topology,SEMANTICALLY_NEAR,0.9461,cosine=0.946
project:nx-generative-design,project:solid-edge-generative-design,SEMANTICALLY_NEAR,0.8293,cosine=0.829
project:nx-generative-design-topology,project:solid-edge-generative-design,SEMANTICALLY_NEAR,0.8216,cosine=0.822
project:nx-generative-design-topology,project:solid-edge-generative-design-topology,SEMANTICALLY_NEAR,0.8703,cosine=0.870
project:one-2-3-45-any-single-image-to-3d-mesh-in-45-seconds-without-per-shape-optimizat,project:one-2-3-45-fast-single-image-to-3d-objects-with-consistent-multi-view-generation,SEMANTICALLY_NEAR,0.8461,cosine=0.846
project:one-2-3-45-fast-single-image-to-3d-objects-with-consistent-multi-view-generation,project:wonder3d-single-image-to-3d-using-cross-domain-diffusion,SEMANTICALLY_NEAR,0.8335,cosine=0.834
project:openbom-ai-agent,project:openbom-ai-support-agent,SEMANTICALLY_NEAR,0.9068,cosine=0.907
project:physics-informed-neural-networks-for-inverse-problems-in-supersonic-flows,project:physics-informed-neural-networks-for-solving-reynolds-averaged-navierstokes-equa,SEMANTICALLY_NEAR,0.828,cosine=0.828
project:physics-informed-neural-operator-for-learning-partial-differential-equations,project:pino,SEMANTICALLY_NEAR,0.9195,cosine=0.920
project:physicsx-engineering-platform,project:physicsx-platform,SEMANTICALLY_NEAR,0.8862,cosine=0.886
project:polycam,project:polycam-ai-3d-model-generator,SEMANTICALLY_NEAR,0.9079,cosine=0.908
project:rafinex-mobius,project:rafinex-mobius-robust-design,SEMANTICALLY_NEAR,0.9538,cosine=0.954
project:rescale-ai-physics,project:rescale-ai-physics-powered-by-nvidia,SEMANTICALLY_NEAR,0.916,cosine=0.916
project:schneider-industrial-copilot,project:siemens-industrial-copilot-engineering,SEMANTICALLY_NEAR,0.8223,cosine=0.822
project:siemens-industrial-copilot-engineering,project:siemens-industrial-copilot-operations,SEMANTICALLY_NEAR,0.8658,cosine=0.866
project:simscale-ai-infrastructure,project:simscale-platform,SEMANTICALLY_NEAR,0.8284,cosine=0.828
project:solid-edge-generative-design,project:solid-edge-generative-design-topology,SEMANTICALLY_NEAR,0.9629,cosine=0.963
project:solving-pdes-by-variational-physics-informed-neural-networks-an-a-posteriori-err,project:variational-physics-informed-neural-networks-for-solving-partial-differential-eq,SEMANTICALLY_NEAR,0.8713,cosine=0.871
project:text2cad-generating-sequential-cad-models-from-beginner-to-expert-level-text-pro,project:text2cad-text-to-3d-cad-generation-via-technical-drawings,SEMANTICALLY_NEAR,0.8482,cosine=0.848
project:topology-optimization-accelerated-by-deep-learning,project:transfer-learning-through-deep-learning-application-to-topology-optimization-of,SEMANTICALLY_NEAR,0.8632,cosine=0.863
project:tripo3d,project:triposr,SEMANTICALLY_NEAR,0.8555,cosine=0.856
project:weatherbench,project:weatherbench-2,SEMANTICALLY_NEAR,0.856,cosine=0.856
project:3d-printing-of-tissue-engineering-scaffolds-a-focus-on-vascular-regeneration,project:machine-learning-based-topology-optimization-in-3d-printing,CITES,1.0,"four trends of 3D printing of tissue engineering vascular scaffolds are presented, including machine learning"
project:a-foundation-model-for-atomistic-materials-chemistry,project:mace,BUILT_ON,1.0,We demonstrate the power of the MACE-MP-0 model - and its qualitative and at times quantitative accuracy
project:a-hierarchical-neural-network-for-point-cloud-segmentation-and-geometric-primiti,project:spfn-supervised-fitting-of-geometric-primitives-to-3d-point-clouds,BENCHMARKED_AGAINST,1.0,outperforms Supervised Primitive Fitting Network (SPFN) by 18.5%
project:a-lab,project:accelerated-data-driven-materials-science-with-the-materials-project,CITES,1.0,identified using large-scale ab initio phase-stability data from the Materials Project
project:a-multi-fidelity-bayesian-optimization-approach-based-on-the-expected-further-im,project:multi-fidelity-efficient-global-optimization-methodology-and-application-to-airf,BENCHMARKED_AGAINST,1.0,The proposed approach is compared with some state-of-the-art methods for multi-fidelity global optimization
project:a-parametric-and-feature-based-cad-dataset-to-support-human-computer-interaction,project:histcad-geometrically-constrained-parametric-history-based-cad-dataset,BENCHMARKED_AGAINST,1.0,proposed dataset outperforms existing CAD datasets in both reconstruction and generation tasks
project:a-path-planning-method-of-lattice-structural-components-for-additive-manufacturi,project:machine-learning-assisted-design-and-optimization-of-plate-lattice-structures-wi,CITES,1.0,Using machine learning method based on a support vector machine (SVM) system
project:a-path-planning-method-of-lattice-structural-components-for-additive-manufacturi,project:machine-learning-assisted-design-and-optimization-of-plate-lattice-structures-wi,BENCHMARKED_AGAINST,1.0,We demonstrate various testing examples and the experimental results to show the superiority and effectiveness of our method
project:a-rail-surface-defect-detection-method-based-on-pyramid-feature-and-lightweight,project:pga-net-pyramid-feature-fusion-and-global-context-attention-network-for-automate,BENCHMARKED_AGAINST,1.0,performance of the proposed method are better than those of other methods
project:abc-dataset,project:deepcad,BENCHMARKED_AGAINST,1.0,"The default training set for nearly every B-rep-learning paper (DeepCAD, BRepNet, UV-Net, BRepGen)"
project:abc-dataset,project:brepnet,BENCHMARKED_AGAINST,1.0,"The default training set for nearly every B-rep-learning paper (DeepCAD, BRepNet, UV-Net, BRepGen)"
project:accelerated-gradient-based-design-optimization-via-differentiable-physics-inform,project:pino,CITES,1.0,"Data-agnostic AI-based surrogate models, such as Physics-Informed Neural Operators (PINOs)"
project:accelerated-gradient-based-design-optimization-via-differentiable-physics-inform,project:pino,BENCHMARKED_AGAINST,1.0,This new architecture outperforms existing SOTA models
project:accelerating-phase-field-simulations-through-a-hybrid-adaptive-fourier-neural-op,project:u-fno-an-enhanced-fourier-neural-operator-based-deep-learning-model-for-multipha,CITES,1.0,a machine learning (ML) based model inspired by recent advances in neural operator learning
project:accelerating-phase-field-simulations-through-a-hybrid-adaptive-fourier-neural-op,project:fno,CITES,1.0,a machine learning (ML) based model inspired by recent advances in neural operator learning
project:adaptive-fourier-neural-operators-efficient-token-mixers-for-transformers,project:fno,BUILT_ON,1.0,"This principle was previously used to design FNO, which solves global convolution efficiently in the Fourier domain"
project:adaptive-fourier-neural-operators-efficient-token-mixers-forn-transformers,project:fno,BUILT_ON,1.0,"This principle was previously used to design FNO, which solves global convolution efficiently in the Fourier domain"
project:additive-manufacturing-application-and-validation-of-machine-learning-based-proc,project:additive-manufacturing-a-machine-learning-model-of-process-structure-property-li,CITES,1.0,a novel workflow using a machine learning-based approach that combines statistical descriptors of textured AM-process induced microstructure
project:akselos-rb-fea-technology,project:akselos-digital-twins-guide,CITES,1.0,Unlock the power of Akselos technology with our comprehensive learning resources
project:allegro,project:nequip,BUILT_ON,1.0,a follow-on from NequIP from the Kozinsky lab
project:alpha3d-game-asset-generation,project:alpha3d-2d-drawing-to-3d,BUILT_ON,1.0,The platform excels at converting 2D images into 3D models
project:alphachip,project:chip-placement-with-deep-reinforcement-learning,CITES,1.0,AlphaChip is the name Google DeepMind gave in 2024 to its internal and open-sourced RL-based chip-floorplanning method
project:alphachip,project:google-circuit-training,CITES,1.0,AlphaChip is the name Google DeepMind gave in 2024 to its internal and open-sourced RL-based chip-floorplanning method
project:ani-1,project:qm9,CITES,1.0,trained on quantum mechanical (QM) DFT calculations can learn an accurate and transferable potential for organic molecules
project:architecture-driven-physics-informed-deep-learning-for-temperature-prediction-in,project:machine-learning-for-metal-additive-manufacturing-predicting-temperature-and-mel,BENCHMARKED_AGAINST,1.0,"The APIDL is compared with ... support vector regressor, and long short-term memory algorithms."
project:artec-studio,project:geomagic-design-x,BUILT_ON,1.0,streamlined export into downstream CAD systems such as Geomagic Design X
project:artec-studio,project:geomagic-for-solidworks,BUILT_ON,1.0,streamlined export into downstream CAD systems such as ... SOLIDWORKS
project:astrus-ai,project:alphachip,CITES,1.0,system adapts ideas from AlphaGo to physics-aware chip design
project:atomistic-line-graph-neural-network-for-improved-materials-property-predictions,project:gemnet-universal-directional-graph-neural-networks-for-molecules,CITES,1.0,ALIGNN can outperform some previously reported GNN models on atomistic prediction tasks
project:atomistic-line-graph-neural-network-for-improved-materials-property-predictions,project:directional-message-passing-for-molecular-graphs,CITES,1.0,ALIGNN can outperform some previously reported GNN models on atomistic prediction tasks
project:atomistic-line-graph-neural-network-for-improved-materials-property-predictions,project:crystal-graph-convolutional-neural-networks-for-an-accurate-and-interpretable-pr,CITES,1.0,ALIGNN can outperform some previously reported GNN models on atomistic prediction tasks
project:augmented-physics-informed-neural-networks-apinns-a-gating-network-based-soft-do,project:extended-physics-informed-neural-networks-xpinns-a-generalized-space-time-domain,BUILT_ON,1.0,APINN ... further improve the extended PINN (XPINN) as well as the vanilla PINN methods
project:augmented-physics-informed-neural-networks-apinns-a-gating-network-based-soft-do,project:pinn-original,BUILT_ON,1.0,APINN ... further improve the extended PINN (XPINN) as well as the vanilla PINN methods
project:augmented-physics-informed-neural-networks-apinns-a-gating-network-based-soft-do,project:extended-physics-informed-neural-networks-xpinns-a-generalized-space-time-domain,BENCHMARKED_AGAINST,1.0,Extensive experiments ... demonstrate how APINN improves PINN and XPINN
project:augmented-physics-informed-neural-networks-apinns-a-gating-network-based-soft-do,project:pinn-original,BENCHMARKED_AGAINST,1.0,Extensive experiments ... demonstrate how APINN improves PINN and XPINN
project:aurora-microsoft,project:fourcastnet,BENCHMARKED_AGAINST,1.0,"Outperforms specialized operational models for air quality, ocean waves, tropical cyclone tracks, and high-resolution weather"
project:aurora-microsoft,project:graphcast,BENCHMARKED_AGAINST,1.0,"Outperforms specialized operational models for air quality, ocean waves, tropical cyclone tracks, and high-resolution weather"
project:aurora-microsoft,project:climsim,BENCHMARKED_AGAINST,1.0,"Outperforms specialized operational models for air quality, ocean waves, tropical cyclone tracks, and high-resolution weather"
project:autobrep-autoregressive-b-rep-generation-with-unified-topology-and-geometry,project:solidgen-an-autoregressive-model-for-direct-b-rep-synthesis,BENCHMARKED_AGAINST,1.0,AutoBrep outperforms baselines with better quality and watertightness
project:automatic-detection-and-classification-of-defective-areas-on-metal-parts-by-usin,project:enhanced-faster-region-convolutional-neural-networks-for-steel-surface-defect-de,CITES,1.0,Faster Regional Convolutional Neural Network (Faster R-CNN)
project:automatic-detection-and-classification-of-defective-areas-on-metal-parts-by-usin,project:development-and-improvement-of-deep-learning-based-automated-defect-detection-fo,CITES,1.0,Faster Regional Convolutional Neural Network (Faster R-CNN)
project:ax,project:botorch,BUILT_ON,1.0,"Bayesian optimization in Ax is powered by BoTorch , a modern library for Bayesian optimization research"
project:backflip-ai,project:backflip-onshape-plugin,BUILT_ON,1.0,Currently natively builds in Onshape or exports .STEP files
project:backflip-onshape-plugin,project:onshape-aikido,BUILT_ON,1.0,Currently natively builds in Onshape or exports .STEP files
project:backflip-onshape-plugin,project:backflip-ai,CITES,1.0,Backflip Onshape Plugin is a 2025 commercial product from Backflip
project:bc-pinn-an-adaptive-physics-informed-neural-network-based-on-biased-multiobjecti,project:pinn-original,BUILT_ON,1.0,"Compared to the original PINN, it reduces the MSE by 1–6 orders of magnitude"
project:blending-neural-operators-and-relaxation-methods-in-pde-numerical-solvers,project:deeponet,BUILT_ON,1.0,integrating a Deep Operator Network (DeepONet) with standard relaxation methods
project:botorch,project:ax,BUILT_ON,1.0,We recommend using BoTorch as a low-level API for implementing new algorithms for Ax
project:brax-a-differentiable-physics-engine-for-large-scale-rigid-body-simulation,project:mujoco-mpc,BENCHMARKED_AGAINST,1.0,"tasks inspired by the existing reinforcement learning literature, but remade in our engine"
project:brax-a-differentiable-physics-engine-for-large-scale-rigid-body-simulation,project:jax-md,CITES,1.0,written in JAX. We present results on a suite of tasks inspired by the existing reinforcement learning literature
project:brep2seq-a-dataset-and-hierarchical-deep-learning-network-for-reconstruction-and,project:deepcad,BENCHMARKED_AGAINST,1.0,Extensive experiments on both DeepCAD and Fusion 360 datasets demonstrate the effectiveness of Brep2Seq
project:brepgen-a-b-rep-generative-diffusion-model-with-structured-latent-geometry,project:autobrep-autoregressive-b-rep-generation-with-unified-topology-and-geometry,BENCHMARKED_AGAINST,1.0,"BrepGen advances the task of CAD B-rep generation, surpassing existing methods on various benchmarks"
project:brepmae-self-supervised-masked-brep-autoencoders-for-machining-feature-recogniti,project:brepgat-graph-neural-network-to-segment-machining-feature-faces-in-a-b-rep-model,BENCHMARKED_AGAINST,1.0,"Compared with other MFR methods, our fine-tuned network achieves a significant improvement in recognition rate"
project:cad-coder-an-open-source-vision-language-model-for-computer-aided-design-code-ge,project:gencad-3d-cad-program-generation-using-multimodal-latent-space-alignment-and-syn,CITES,1.0,"Leveraging a novel dataset that we created—GenCAD-Code, consisting of over 163k CAD-model image and code pairs"
project:cad-mllm,project:cad-llama-leveraging-large-language-models-for-computer-aided-design-parametric,BUILT_ON,1.0,Built on top of an open-weight LLM (typically LLaMA-class)
project:cad-mllm,project:from-text-to-design-a-framework-to-leverage-llm-agents-for-automated-cad-generat,BENCHMARKED_AGAINST,1.0,Performance on text-conditional benchmarks improves over earlier text-to-CAD baselines
project:cad-recode-reverse-engineering-cad-code-from-point-clouds,project:deepcad,BENCHMARKED_AGAINST,1.0,"CAD-Recode significantly outperforms existing methods across the DeepCAD, Fusion360 and real-world CC3D datasets"
project:cad-signet-cad-language-inference-from-point-clouds-using-layer-wise-sketch-inst,project:secad-net-self-supervised-cad-reconstruction-by-learning-sketch-extrude-operatio,BENCHMARKED_AGAINST,1.0,effectiveness of our approach against existing baseline models in two settings
project:cad-translator-an-effective-drive-for-text-to-3d-parametric-computer-aided-desig,project:text2cad-generating-sequential-cad-models-from-beginner-to-expert-level-text-pro,CITES,1.0,"To train CAD Translator, we build a Text2CAD dataset with the help of Large Multimodal Model (LMM)"
project:cadcl-reconstruct-parametric-cad-models-from-b-rep-via-contrastive-learning,project:deepcad,BENCHMARKED_AGAINST,1.0,our method outperforms existing approaches on the simple DeepCAD dataset
project:caddreamer-cad-object-generation-from-single-view-images,project:mvdream-multi-view-diffusion-for-3d-generation,BUILT_ON,1.0,CADDreamer employs a primitive-aware multi-view diffusion model
project:caddreamer-cad-object-generation-from-single-view-images,project:brepgen-a-b-rep-generative-diffusion-model-with-structured-latent-geometry,CITES,1.0,generating boundary representations (B-rep) of CAD objects
project:caddreamer-cad-object-generation-from-single-view-images,project:one-2-3-45-fast-single-image-to-3d-objects-with-consistent-multi-view-generation,BENCHMARKED_AGAINST,1.0,"Compared to existing 3D generation techniques, the B-rep models produced by CADDreamer are compact in representation, clear in structure"
project:cadence-cerebrus,project:cadence-cerebrus-ai-studio,BUILT_ON,1.0,Cerebrus is now a mature commercial product in the Cadence AI portfolio
project:cadence-cerebrus-ai-studio,project:cadence-cerebrus,BUILT_ON,1.0,"multi-design, multi-user evolution of the original Cerebrus optimization engine"
project:cadence-jedai-platform,project:cadence-cerebrus-ai-studio,BUILT_ON,1.0,transfer learning and cross-project analytics possible for products like Cerebrus
project:cadence-jedai-platform,project:cadence-verisium,BUILT_ON,1.0,transfer learning and cross-project analytics possible for products like ... Verisium
project:cadence-joules-rtl-design-studio,project:cadence-cerebrus-ai-studio,BUILT_ON,1.0,direct integration with Cerebrus and the broader Cadence.AI platform
project:cadparser-a-learning-approach-of-sequence-modeling-for-b-rep-cad,project:brep2seq-a-dataset-and-hierarchical-deep-learning-network-for-reconstruction-and,CITES,1.0,our method can compete with the existing state-of-the-art methods quantitatively and qualitatively
project:cadtalk-an-algorithm-and-benchmark-for-semantic-commenting-of-cad-programs,project:cad-gpt-synthesising-cad-construction-sequence-with-spatial-reasoning-enhanced-m,BENCHMARKED_AGAINST,1.0,compared it to a GPT-based baseline
project:cadtalk-an-algorithm-and-benchmark-for-semantic-commenting-of-cad-programs,project:cad-signet-cad-language-inference-from-point-clouds-using-layer-wise-sketch-inst,BENCHMARKED_AGAINST,1.0,compared it to ... an open-set shape segmentation baseline
project:capri-net-learning-compact-cad-shapes-with-adaptive-primitive-assembly,project:csgnet-neural-shape-parser-for-constructive-solid-geometry,CITES,1.0,assembly of quadric surface primitives via constructive solid geometry (CSG) operations
project:catia-performance-driven-generative-design,project:catia-ai-driven-generative-experiences,BUILT_ON,1.0,CATIA Performance-Driven Generative Design is a 2023 commercial product from Dassault Systemes
project:catia-performance-driven-generative-design,project:catia-ai-driven-generative-experiences,CITES,1.0,"CATIA propose a different approach of Generative AI, with machine and deep learning in various applications"
project:chateda,project:gpt4aigchip,BENCHMARKED_AGAINST,1.0,fine-tuned model outperformed GPT-4 and similar baselines on automated EDA tasks
project:chgnet,project:m3gnet,CITES,1.0,Trained on Materials Project trajectories. Reference baseline for battery and energy-materials applications.
project:chipnemo,project:gpt4aigchip,BENCHMARKED_AGAINST,1.0,ChipNeMo-70B outperformed GPT-4 on the engineering-assistant and EDA-script tasks
project:clay-a-controllable-large-scale-generative-model-for-creating-high-quality-3d-as,project:direct3d-scalable-image-to-3d-generation-via-3d-latent-diffusion-transformer,CITES,1.0,"a minimalistic latent Diffusion Transformer (DiT), to extract rich 3D priors"
project:clay-a-controllable-large-scale-generative-model-for-creating-high-quality-3d-as,project:scalable-diffusion-for-materials-generation,CITES,1.0,multi-view material diffusion model that can generate 2K resolution textures
project:climatebench,project:weatherbench,CITES,1.0,ClimateBench is a benchmark dataset for climate model emulation inspired by WeatherBench
project:computer-vision-for-automatic-defect-detection-of-self-pierce-rivet-joints,project:computer-vision-for-industrial-defect-detection,CITES,1.0,current methods for quality control of rivet joints in automotive production are discussed
project:computer-vision-for-automatic-defect-detection-of-self-pierce-rivet-joints,project:computer-vision-for-industrial-defect-detection,BUILT_ON,1.0,"a computer vision approach, based on the object detection algorithm YOLOv5, for automated defect detection"
project:conformis,project:restor3d,CITES,1.0,"restor3d specializes in personalized, 3D-printed orthopedic implants"
